name,score,category,location
사천왕사,"4.3(9,814)",관광 명소 · 1 Chome-11-18 Shitennoji,"1 Chome-11-18 Shitennoji, Tennoji Ward, Osaka, 543-0051 일본"
오사카 성 천수각,"4.5(4,219)",관광 명소 · 1-1 Osakajo,"1-1 Osakajo, Chuo Ward, Osaka, 540-0002 일본"
도톤보리,"4.4(64,050)",관광 명소 · 1 Chome Dotonbori,"1 Chome Dotonbori, Chuo Ward, Osaka, 542-0071 일본"
오사카 성,"4.4(64,981)",관광 명소 · 1-1 Osakajo,"1-1 Osakajo, Chuo Ward, Osaka, 540-0002 일본"
덴포잔 대관람차,"4.4(8,051)",관광 명소 · 1 Chome-1-10 Kaigandori,"1 Chome-1-10 Kaigandori, Minato Ward, Osaka, 552-0022 일본"
니시노마루 정원,"4.1(1,604)",관광 명소 · 2 Osakajo,None
법선사,"4.3(3,061)",관광 명소 · 1 Chome-2-16 Nanba,"1 Chome-2-16 Nanba, Chuo Ward, Osaka, 542-0076 일본"
오사카초밥참치,2.3(4),음식점 · 무안읍 교촌리 1041-6,None
신우메다 시티,"4.2(4,965)",관광 명소 · 1 Chome-1-88 Oyodonaka,None
유니버설 스튜디오 재팬,"4.5(106,508)",관광 명소 · 2 Chome-1-33 Sakurajima,"2 Chome-1-33 Sakurajima, Konohana Ward, Osaka, 554-0031 일본"
쓰텐가쿠,"4.0(28,743)",관광 명소 · 1 Chome-18-6 Ebisuhigashi,"1 Chome-18-6 Ebisuhigashi, Naniwa Ward, Osaka, 556-0002 일본"
해유관,"4.4(39,963)",관광 명소 · 1 Chome-1-10 Kaigandori,"1 Chome-1-10 Kaigandori, Minato Ward, Osaka, 552-0022 일본"
오사카 성 공원,"4.3(37,133)",관광 명소 · 1-1 Osakajo,"1-1 Osakajo, Chuo Ward, Osaka, 540-0002 일본"
우메다 공중정원,"4.4(10,634)","관광 명소 · Oyodonaka, 1 Chome−1−88 梅田スカイビル","일본 〒531-6039 Osaka, Kita Ward, Oyodonaka, 1 Chome−1−88 梅田スカイビル"
우메다 스카이빌딩,"4.3(26,502)",관광 명소 · 1 Chome-1-88 Oyodonaka,"1 Chome-1-88 Oyodonaka, Kita Ward, Osaka, 531-6023 일본"
가미가타우키요에관,4.1(354),미술관 · 1 Chome-6-4 Nanba,"1 Chome-6-4 Nanba, Chuo Ward, Osaka, 542-0076 일본"
오기마치 공원,"3.9(3,397)",관광 명소 · 1 Chome-1 Ogimachi,None
마이시마 녹지,3.9(311),관광 명소 · 3,None
구치나와자카,4.0(122),관광 명소 · 5-3 Yuhigaokacho,None
아베노 하루카스,"4.2(45,759)",상업 지구 · 1 Chome-1-43 Abenosuji,"1 Chome-1-43 Abenosuji, Abeno Ward, Osaka, 545-6016 일본"
태양의 탑,"4.5(5,428)",관광 명소 · 1-1 Senribanpakukoen,"1-1 Senribanpakukoen, Suita, Osaka 565-0826 일본"
오사카 기업가 뮤지엄,4.0(210),"관광 명소 · Honmachi, 1 Chome−4−5 B1階",None
하마데라 공원,"4.1(3,710)",관광 명소 · Hamadera Koencho,None
오사카 과학기술관,"3.7(1,108)",관광 명소 · 1 Chome-8-4 Utsubohonmachi,None
미쓰 공원,"3.7(1,102)",관광 명소 · 2 Chome-11-34 Nishishinsaibashi,None
글리코 기념관,4.2(146),관광 명소 · 4 Chome-5-5 Utajima,None
이케다 성터,4.2(361),공원 · 3-19 Shiroyamacho,None
스미요시 공원,"4.0(1,221)",관광 명소 · 1 Chome-1-13 Hamaguchihigashi,None
오사카부 사키시마청사,3.9(488),관광 명소 · 1 Chome-14-16 Nankokita,None
